CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,GenderIndex,Geography_France,Geography_Germany,features_raw,features
822.0,50.0,7.0,0.0,2.0,1.0,1.0,10062.8,0.0,0.0,0.0,0.0,"[822.0,50.0,7.0,0.0,2.0,1.0,1.0,10062.8,0.0,0.0,0.0]","[1.7554119083328914,0.8301437864465926,0.6765702918234291,-1.3500498587716774,0.7531503687480621,0.6568705569879226,1.097616608426526,-1.581212567159642,-1.0020439117270565,0.0,0.0]"
497.0,24.0,3.0,0.0,2.0,1.0,0.0,76390.01,0.0,0.0,0.0,0.0,"(11,[0,1,2,4,5,7],[497.0,24.0,3.0,2.0,1.0,76390.01])","[-1.546025367949272,-1.620995795823093,-0.7037287559486252,-1.3500498587716774,0.7531503687480621,0.6568705569879226,-0.9109521897380475,-0.43051687793206256,-1.0020439117270565,0.0,0.0]"
635.0,35.0,7.0,0.0,2.0,1.0,1.0,65951.65,0.0,1.0,0.0,0.0,"[635.0,35.0,7.0,0.0,2.0,1.0,1.0,65951.65,1.0,0.0,0.0]","[-0.14418430909715332,-0.5839752033243798,0.6765702918234291,-1.3500498587716774,0.7531503687480621,0.6568705569879226,1.097616608426526,-0.611609612793149,0.9978367626780669,0.0,0.0]"
549.0,24.0,9.0,0.0,2.0,1.0,1.0,14406.41,0.0,1.0,0.0,0.0,"[549.0,24.0,9.0,0.0,2.0,1.0,1.0,14406.41,1.0,0.0,0.0]","[-1.0177954037441257,-1.620995795823093,1.3667198157094562,-1.3500498587716774,0.7531503687480621,0.6568705569879226,1.097616608426526,-1.5058562646303209,0.9978367626780669,0.0,0.0]"
636.0,32.0,8.0,0.0,2.0,1.0,0.0,138555.46,0.0,1.0,0.0,0.0,"[636.0,32.0,8.0,0.0,2.0,1.0,0.0,138555.46,1.0,0.0,0.0]","[-0.13402604055474665,-0.8667990012785743,1.0216450537664428,-1.3500498587716774,0.7531503687480621,0.6568705569879226,-0.9109521897380475,0.6479773830792573,0.9978367626780669,0.0,0.0]"
846.0,38.0,5.0,0.0,1.0,1.0,1.0,187616.16,0.0,1.0,0.0,0.0,"[846.0,38.0,5.0,0.0,1.0,1.0,1.0,187616.16,1.0,0.0,0.0]","[1.9992103533506511,-0.30115140537018537,-0.01357923206259799,-1.3500498587716774,-0.7533367921066616,0.6568705569879226,1.097616608426526,1.4991203152256196,0.9978367626780669,0.0,0.0]"
756.0,36.0,2.0,136815.64,1.0,1.0,1.0,170041.95,0.0,0.0,0.0,0.0,"[756.0,36.0,2.0,136815.64,1.0,1.0,1.0,170041.95,0.0,0.0,0.0]","[1.0849661845340521,-0.489700604006315,-1.0488035178916386,0.8913955042910247,-0.7533367921066616,0.6568705569879226,1.097616608426526,1.19422934078873,-1.0020439117270565,0.0,0.0]"
553.0,41.0,9.0,110112.54,2.0,0.0,0.0,81898.81,0.0,0.0,0.0,0.0,"(11,[0,1,2,3,4,7],[553.0,41.0,9.0,110112.54,2.0,81898.81])","[-0.9771623295744991,-0.01832760741599087,1.3667198157094562,0.4539196449930696,0.7531503687480621,-1.522181565762243,-0.9109521897380475,-0.334945958956021,-1.0020439117270565,0.0,0.0]"
520.0,42.0,6.0,0.0,2.0,1.0,1.0,34410.55,0.0,1.0,0.0,0.0,"[520.0,42.0,6.0,0.0,2.0,1.0,1.0,34410.55,1.0,0.0,0.0]","[-1.3123851914739186,0.07594699190207396,0.3314955298804156,-1.3500498587716774,0.7531503687480621,0.6568705569879226,1.097616608426526,-1.1588089869790372,0.9978367626780669,0.0,0.0]"
722.0,29.0,9.0,0.0,2.0,1.0,1.0,142033.07,0.0,1.0,0.0,0.0,"[722.0,29.0,9.0,0.0,2.0,1.0,1.0,142033.07,1.0,0.0,0.0]","[0.7395850540922257,-1.1496227992327688,1.3667198157094562,-1.3500498587716774,0.7531503687480621,0.6568705569879226,1.097616608426526,0.7083096484619674,0.9978367626780669,0.0,0.0]"
